Created: 04-Feb-2009
 
 
Industry mapping for USA
 
Code  Code CHL      N                                                 Industry label USA                                                 Industry label CHL
 1102      1    90799                                                Cultivation of corn     Agriculture, livestock, hunting and related service activities
 1103      1    14228                            Cultivation of other cereals for grains     Agriculture, livestock, hunting and related service activities
 1104      1     3558                                   Cultivation of herbaceous cotton     Agriculture, livestock, hunting and related service activities
 1105      1    17619                                          Cultivation of sugar cane     Agriculture, livestock, hunting and related service activities
 1106      1    18645                                             Cultivation of tobacco     Agriculture, livestock, hunting and related service activities
 1107      1    14712                                            Cultivation of soybeans     Agriculture, livestock, hunting and related service activities
 1108      1    46116                                         Cultivation of manioc root     Agriculture, livestock, hunting and related service activities
 1109      1    70770          Cultivation of other temporary agricultural farm products     Agriculture, livestock, hunting and related service activities
 1110      1    33904  Cultivation of salad greens, vegetables and other such plant prod     Agriculture, livestock, hunting and related service activities
 1111      1     2245  Cultivation of flowers, ornamental plants and greenhouse products     Agriculture, livestock, hunting and related service activities
 1112      1     9011                                       Cultivation of citric fruits     Agriculture, livestock, hunting and related service activities
 1113      1    75236                                              Cultivation of coffee     Agriculture, livestock, hunting and related service activities
 1114      1     5763                                         Cultivation of cocoa beans     Agriculture, livestock, hunting and related service activities
 1115      1     3021                                              Cultivation of grapes     Agriculture, livestock, hunting and related service activities
 1116      1     6778                                             Cultivation of bananas     Agriculture, livestock, hunting and related service activities
 1117      1     7830                    Cultivation of other permanent farming products     Agriculture, livestock, hunting and related service activities
 1118      1    65419                                        Poorly specified farm crops     Agriculture, livestock, hunting and related service activities
 1201      1    97801                                                     Cattle raising     Agriculture, livestock, hunting and related service activities
 1202      1     1465                                     Raising of other large animals     Agriculture, livestock, hunting and related service activities
 1203      1      469                                                      Sheep raising     Agriculture, livestock, hunting and related service activities
 1204      1     4113                                                      Swine raising     Agriculture, livestock, hunting and related service activities
 1205      1    12389                                                    Poultry raising     Agriculture, livestock, hunting and related service activities
 1206      1      484                                                        Bee raising     Agriculture, livestock, hunting and related service activities
 1207      1      515                                                    Silk production     Agriculture, livestock, hunting and related service activities
 1208      1     1465                                           Raising of other animals     Agriculture, livestock, hunting and related service activities
 1209      1     8231                                Raising of poorly specified animals     Agriculture, livestock, hunting and related service activities
 1300      1    12093                   Mixed production: agriculture and cattle raising     Agriculture, livestock, hunting and related service activities
 1401      1    11748                      Activities in services related to agriculture     Agriculture, livestock, hunting and related service activities
 1402      1     1027  Activities in services related to cattle raising - except veterin     Agriculture, livestock, hunting and related service activities
 1500      1      211                  Hunting, animal resettlement and related services     Agriculture, livestock, hunting and related service activities
 2001      2    25045                            Lumber industry and forest exploitation           Forestry, wood extraction and related service activities
 2002      2      835  Activities in services related to the lumber industry and forest            Forestry, wood extraction and related service activities
 5001      5    16689                                       Fishing and related services            Fisheries, fish farming and services related to fishing
 5002      5     1150                                   Aquiculture and related services            Fisheries, fish farming and services related to fishing
10000     10      332                                                        Coal mining                                  Coal, lignite and peat extraction
11000     11     1162             Extraction of oil and natural gas and related services  Crude oil and natural gas extraction, and related service activit
12000     12        6                                 Extraction of radioactive minerals                                           Uranium and torio mining
13001     13      614                              Extraction of ores of precious metals                                        Mining of metallic minerals
13002     13      488  Extraction of metallic minerals - except precious and radioactive                                        Mining of metallic minerals
14001     14     4379              Extraction of stones and other construction materials                              Mining of other minerals and quarries
14002     14      875                    Extraction of precious and semi-precious stones                              Mining of other minerals and quarries
14003     14      591                          Extraction of other non-metallic minerals                              Mining of other minerals and quarries
14004     14     4327                            Extraction of poorly specified minerals                              Mining of other minerals and quarries
15010     15     9799                      Slaughtering and preparation of meat and fish                                 Food and drink product manufacture
15021     15     1169  Production of preserves of fruit, vegetables and other vegetable                                  Food and drink product manufacture
15022     15      466                                Production of vegetable fat and oil                                 Food and drink product manufacture
15030     15     7141                                    Manufacturing of dairy products                                 Food and drink product manufacture
15041     15     7871                                Manufacturing and refining of sugar                                 Food and drink product manufacture
15042     15      993                                    Roasting and grinding of coffee                                 Food and drink product manufacture
15043     15    39267                               Manufacturing of other food products                                 Food and drink product manufacture
15050     15     4463                                         Manufacturing of beverages                                 Food and drink product manufacture
16000     16     1159                                  Manufacturing of tobacco products                                        Tobacco product manufacture
17001     17    12070                     Processing of fibers, weaving and cloth making                                        Textile product manufacture
17002     17    14625  Manufacturing of textile objects based on cloth - except for garm                                        Textile product manufacture
18001     18    45248      Making of clothing articles and accessories - except on order                       Clothing and furs processing and manufacture
18002     18    10675                Making clothing articles and accessories - on order                       Clothing and furs processing and manufacture
18999     18     5450      Making of clothing articles and accessories - on order or not                       Clothing and furs processing and manufacture
19011     19     1384                          Tanning and other preparations of leather  Leather processing, manufacture of luggage, handbags, leatherwear
19012     19     2565                                   Manufacturing of leather objects  Leather processing, manufacture of luggage, handbags, leatherwear
19020     19    16013                                          Manufacturing of footwear  Leather processing, manufacture of luggage, handbags, leatherwear
20000     20    22303                                   Manufacturing of wooden products  Production of wood and manufacture of wood and cork products with
21001     21     4014  Manufacturing of pulp, paper and smooth cardboard, poster paper a                               Paper and paper products manufacture
21002     21     2786  Manufacturing of corrugated cardboard and of packaging, and of pa                               Paper and paper products manufacture
22000     22    14891                   Editing, printing and reproduction of recordings          Editorial, printing and recording reproduction activities
23010     23        8                                                        Coke plants       Coke production, products from oil refining and nuclear fuel
23020     23     1432                          Manufacturing of products in oil refining       Coke production, products from oil refining and nuclear fuel
23030     23        9                                        Production of nuclear fuels       Coke production, products from oil refining and nuclear fuel
24010     24     1092       Manufacturing of paints, dyes, varnish, enamels and lacquers                         Chemical and chemical products manufacture
24020     24     4448                           Manufacturing of pharmaceutical products                         Chemical and chemical products manufacture
24030     24     3306  Manufacturing of soap, detergents, cleaning products and toiletri                         Chemical and chemical products manufacture
24090     24     7805                   Manufacturing of miscellaneous chemical products                         Chemical and chemical products manufacture
25010     25     2872                                   Manufacturing of rubber products                            Rubber and plastic products manufacture
25020     25     8494                                  Manufacturing of plastic products                            Rubber and plastic products manufacture
26010     26     1638                          Manufacturing of glass and glass products                 Manufacture of other non-metallic mineral products
26091     26    15778                                  Manufacturing of ceramic products                 Manufacture of other non-metallic mineral products
26092     26     8708   Manufacturing of miscellaneous products of non-metallic minerals                 Manufacture of other non-metallic mineral products
27001     27     3679                                    Manufacturing of steel products                                          Common metals manufacture
27002     27     1673                                   Metallurgy of non-ferrous metals                                          Common metals manufacture
27003     27     1777                                                          Foundries                                          Common metals manufacture
28001     28    33105    Manufacturing of metal products - except machines and equipment  Metal products manufacture, with the exception of machinery and e
28002     28     4550  Foundries, stamping shops, powder metallurgy and metal treatment   Metal products manufacture, with the exception of machinery and e
29001     29    12769        Manufacturing of machines and equipment - except appliances                Machinery and equipment products manufacture N.E.C.
29002     31     2043                                        Manufacturing of appliances                     Electrical equipment and appliance manufacture
30000     30      788     Manufacturing of office machines and data-processing equipment  Manufacture of office, accounting, and information technology equ
31001     31     4190  Manufacturing of machines, equipment and miscellaneous electric m                     Electrical equipment and appliance manufacture
31002     31      468                  Manufacturing of electrical material for vehicles                     Electrical equipment and appliance manufacture
32000     32     2478  Manufacturing of electronic material and communications equipment         Radio, television and communications equipment manufacture
33001     33     2132                                 Manufacturing of medical equipment  Manufacture of medical instruments, precision optics and watchmak
33002     33      378  Manufacturing of measuring, testing and control equipment - excep  Manufacture of medical instruments, precision optics and watchmak
33003     33      237  Manufacturing of machines, equipment for electronic systems for i  Manufacture of medical instruments, precision optics and watchmak
33004     33      746  Manufacturing of equipment, instruments and optical, photographic  Manufacture of medical instruments, precision optics and watchmak
33005     33      144                  Manufacturing of chronometers, clocks and watches  Manufacture of medical instruments, precision optics and watchmak
34001     34     5182                       Manufacturing and assembly of motor vehicles              Manufacture of automobiles, trailers and semitrailers
34002     34     7830  Manufacturing of cabins, car bodies, trailers and parts for motor              Manufacture of automobiles, trailers and semitrailers
34003     34      977         Reconditioning or restoration of engines of motor vehicles              Manufacture of automobiles, trailers and semitrailers
35010     35      987                                   Construction and repair of boats             Manufacture of other types of transportation equipment
35020     35      202  Construction and assembly of locomotives, cars and other rolling              Manufacture of other types of transportation equipment
35030     35      750                     Construction, assembly and repair of airplanes             Manufacture of other types of transportation equipment
35090     35      716            Manufacturing of miscellaneous transportation equipment             Manufacture of other types of transportation equipment
36010     36    28262                               Manufacturing of pieces of furniture             Furniture manufacture, manufacturing industries N.E.C.
37000     37     2327                                                          Recycling                                                          Recycling
40010     40     7282                     Production and distribution of electric energy       Electrical, gas, steam and hot water supply and distribution
40020     40      605                           Production and distribution of piped gas       Electrical, gas, steam and hot water supply and distribution
41000     41     7228                        Water catchment, treatment and distribution                    Water collection, purification and distribution
45001     45     3257                                            Preparation of the land                                                       Construction
45002     45   172143              Construction of buildings and civil engineering works                                                       Construction
45003     45    15941                                                 Installation works                                                       Construction
45004     45    22396                                                    Finishing works                                                       Construction
45005     45       31       Rental of construction and demolition equipment with workers                                                       Construction
45999     45    15949                      Construction operations - undefined specialty                                                       Construction
50010     50    10286                                         Commerce of motor vehicles  Sales, maintenance and repair of automobiles and motorcycles, ret
50020     50    55398                 Repair and maintenance services for motor vehicles  Sales, maintenance and repair of automobiles and motorcycles, ret
50030     50    10384               Commerce of parts and accessories for motor vehicles  Sales, maintenance and repair of automobiles and motorcycles, ret
50040     50     2449                    Commerce, maintenance and repair of motorcycles  Sales, maintenance and repair of automobiles and motorcycles, ret
50050     51    10869                                                   Service stations  Wholesale sales and sales by commission, excluding automobile and
53010     51    12961                       Sales representatives and agents in commerce  Wholesale sales and sales by commission, excluding automobile and
53020     51     6861                                          Commerce of farm products  Wholesale sales and sales by commission, excluding automobile and
53030     51   104130                Commerce of products of food, beverages and tobacco  Wholesale sales and sales by commission, excluding automobile and
53041     51     5015     Commerce of textile thread, cloth, cloth artifacts and notions  Wholesale sales and sales by commission, excluding automobile and
53042     51    32734         Commerce of articles of clothing, supplements and footwear  Wholesale sales and sales by commission, excluding automobile and
53050     51    32069        Commerce of wood, construction material, hardware and tools  Wholesale sales and sales by commission, excluding automobile and
53061     51    17531          Commerce of appliances, furniture and other home articles  Wholesale sales and sales by commission, excluding automobile and
53062     51     6992            Commerce of books, newspapers, magazines and stationery  Wholesale sales and sales by commission, excluding automobile and
53063     51    17111  Commerce of pharmaceutical, medical, orthopedic, dental and cosme  Wholesale sales and sales by commission, excluding automobile and
53064     51     6771        Commerce of machines and equipment - except home appliances  Wholesale sales and sales by commission, excluding automobile and
53065     51     9679                      Commerce of fuel – except at service stations  Wholesale sales and sales by commission, excluding automobile and
53066     51     2449                                         Commerce of scrap and junk  Wholesale sales and sales by commission, excluding automobile and
53067     51      118                  Commerce of extractive products of mineral origin  Wholesale sales and sales by commission, excluding automobile and
53068     51    38683    Commerce of merchandise in general - including used merchandise  Wholesale sales and sales by commission, excluding automobile and
53070     52    14918                                      Supermarkets and hypermarkets  Retail sales, excluding sales of automobiles and motorcycles; rep
53080     52     2420  Department stores and other non-specialized commerce, without pre  Retail sales, excluding sales of automobiles and motorcycles; rep
53090     52     1596  Retail commerce of articles in general by catalog, television, In  Retail sales, excluding sales of automobiles and motorcycles; rep
53101     52    62526  Retail commerce carried out at movable points installed on public  Retail sales, excluding sales of automobiles and motorcycles; rep
53102     52     1112           Other types of retail commerce not carried out in stores  Retail sales, excluding sales of automobiles and motorcycles; rep
55010     55    14728                                                           Lodgings                                             Hotels and restaurants
55020     55    14904                                                      Food peddlers                                             Hotels and restaurants
55030     55    72923                              Other food services - except peddlers                                             Hotels and restaurants
55999     55    38998                     Unspecified activities in lodgings and/or food                                             Hotels and restaurants
60010     60     1548                                            Railroad transportation                     Ground transportation, pipeline transportation
60020     60      330                                              Subway transportation                     Ground transportation, pipeline transportation
60031     60    52888                       Highway cargo transportation - except moving                     Ground transportation, pipeline transportation
60032     60      716                                  Highway transportation for moving                     Ground transportation, pipeline transportation
60040     60    61402                                   Highway passenger transportation                     Ground transportation, pipeline transportation
60091     60       21  Transportation in streetcars, cable cars, cableways or trains spe                     Ground transportation, pipeline transportation
60092     61       76                                               Canal transportation                                               Water transportation
60999     60     4286                             Land transportation - unspecified type                     Ground transportation, pipeline transportation
61000     61     1848                                               Water transportation                                               Water transportation
62000     62     2331                                                 Air transportation                                                 Air transportation
63010     63     5132                      Loading and unloading, storing and warehouses  Complementary and auxiliary transportation activities, travel age
63021     63     5027                             Auxiliary activities in transportation  Complementary and auxiliary transportation activities, travel age
63022     63      901                               Organization of cargo transportation  Complementary and auxiliary transportation activities, travel age
63030     63     3273                              Travel agencies and travel organizers  Complementary and auxiliary transportation activities, travel age
64010     64     7003                                             Post office activities                              Postal service and telecommunications
64020     64    12636                                                 Telecommunications                              Postal service and telecommunications
65000     65    21904                                           Financial intermediation  Financial intermediary services, excluding financing of insurance
66000     66     2888                              Insurance and private social security  Financing of insurance and pension plans, excluding those of mand
67010     67     2533                  Auxiliary activities for financial intermediation                        Activities auxiliary to financial mediation
67020     67     4472     Auxiliary activities for insurance and private social security                        Activities auxiliary to financial mediation
70001     70    11482                         Real-estate activities - except for condos                                             Real estate activities
70002     70    12360                                                    Condo buildings                                             Real estate activities
71010     71      702                                                 Rental of vehicles  Rental of machinery and equipment without operators and of person
71020     71      480                                   Rental of machines and equipment  Rental of machinery and equipment without operators and of person
71030     71     2694                            Rental of personal and domestic objects  Rental of machinery and equipment without operators and of person
72010     72     9236                                         Data-processing activities                        Information services and related activities
72020     72     1533  Maintenance and repair of office machines and data-processing equ                        Information services and related activities
73000     73     3036                                           Research and development                                           Research and development
75011     75    11238  Administration of the state and of economic and social policy - F  Public administration and defense, social security/insurance plan
75012     75    20255  Administration of the state and of economic and social policy - S  Public administration and defense, social security/insurance plan
75013     75    75276  Administration of the state and of economic and social policy - M  Public administration and defense, social security/insurance plan
75014     75    12528                                                       Armed forces  Public administration and defense, social security/insurance plan
75015     75     3938  Other collective services rendered by public administration - Fed  Public administration and defense, social security/insurance plan
75016     75    33394  Other collective services rendered by public administration - Sta  Public administration and defense, social security/insurance plan
75017     75     1309  Other collective services rendered by public administration - Mun  Public administration and defense, social security/insurance plan
75020     75     2057                                                    Social security  Public administration and defense, social security/insurance plan
75999     75     6848        Public administration, unspecified sphere of administration  Public administration and defense, social security/insurance plan
80011     80    89824                      Regular, general and special public education                                                          Education
80012     80    24315                     Regular, general and special private education                                                          Education
80090     80    10855                                       Other educational activities                                                          Education
80999     80    28904                                 Unspecified educational activities                                                          Education
85011     85    27852                                                      Public health                       Social services and health sector activities
85012     85    35355                                                     Private health                       Social services and health sector activities
85013     85      187                                         Other activities in health                       Social services and health sector activities
85020     85     1144                                                Veterinary services                       Social services and health sector activities
85030     85    10457                                                    Social services                       Social services and health sector activities
85999     85    18928                                   Unspecified activities in health                       Social services and health sector activities
90000     90    10539                   Urban cleaning and sewage and related activities  Household waste and wastewater removal and treatment, and similar
92011     92      401                                Production of movies and videotapes                      Entertainment, cultural and sports activities
92012     92      192                   Distribution and projection of movies and videos                      Entertainment, cultural and sports activities
92013     92     2399                                                   Radio activities                      Entertainment, cultural and sports activities
92014     92     1653                                              Television activities                      Entertainment, cultural and sports activities
92015     92    16465                         Other artistic activities and performances                      Entertainment, cultural and sports activities
92020     92      647                                        Activities of news agencies                      Entertainment, cultural and sports activities
92030     92     1140         Libraries, archives, museums and other cultural activities                      Entertainment, cultural and sports activities
92040     92    16463                  Athletic activities and others related to leisure                      Entertainment, cultural and sports activities
95000     95   230600                                                  Domestic services                          Private households with domestic servants
99000     98      116  International organizations and other extra-territorial instituti                       Extraterritorial organizations and organisms
 
 
Industry mapping for CAN
 
This country does not have detailed industry data.
 
 
Industry mapping for CHN
 
Code  Code CHL      N                                                 Industry label CHN                                                 Industry label CHL
   11      1   941870                                                         Food crops     Agriculture, livestock, hunting and related service activities
   19      1      542                                         Other agricultural sectors     Agriculture, livestock, hunting and related service activities
   30      2     3591                                                           Forestry           Forestry, wood extraction and related service activities
   41      1     5622                                                  Livestock raising     Agriculture, livestock, hunting and related service activities
   42      1      895                                                    Poultry raising     Agriculture, livestock, hunting and related service activities
   49      1      469                          Small animal raising, hunting, and others     Agriculture, livestock, hunting and related service activities
   51      5     2131                                   Aquatic animal and plant raising            Fisheries, fish farming and services related to fishing
   52      5     2514                             Fishing for aquatic animals and plants            Fisheries, fish farming and services related to fishing
   60     40     1177           Electric power, gas, and pipewater supply and production       Electrical, gas, steam and hot water supply and distribution
   71      1     1428                                              Agricultural services     Agriculture, livestock, hunting and related service activities
   72      2      221                                                  Forestry services           Forestry, wood extraction and related service activities
   73      1      779                                         Livestock raising services     Agriculture, livestock, hunting and related service activities
   74      5      145                                                   Fishery services            Fisheries, fish farming and services related to fishing
   79      1      182  Other agricultural, forestry, livestock raising, fishering, and e     Agriculture, livestock, hunting and related service activities
   81     10    11378                                                        Coal mining                                  Coal, lignite and peat extraction
   82     10      274                                                      Coal dressing                                  Coal, lignite and peat extraction
   91     11     1346                                               Petroleum estraction  Crude oil and natural gas extraction, and related service activit
   92     11      194                                             Natural gas extraction  Crude oil and natural gas extraction, and related service activit
   93     11        4                                               Oil shale extraction  Crude oil and natural gas extraction, and related service activit
  101     13      714                                                        Iron mining                                        Mining of metallic minerals
  102     13       10                                               Manganese ore mining                                        Mining of metallic minerals
  103     13        0                                                      Chrome mining                                        Mining of metallic minerals
  111     13     1250                                    Heavy non-ferrous metals mining                                        Mining of metallic minerals
  113     13       72                                    Light non-ferrous metals mining                                        Mining of metallic minerals
  115     13      495                                              Precious metal mining                                        Mining of metallic minerals
  116     13      156                            Rare metal mining and rare earth mining                                        Mining of metallic minerals
  121     14     2348                                      Earth, sand, and stone mining                              Mining of other minerals and quarries
  122     14      575                                           Chemical minerals mining                              Mining of other minerals and quarries
  129     14      505                                Other earth, sand, and stone mining                              Mining of other minerals and quarries
  140     14        5                                               Other mining sectors                              Mining of other minerals and quarries
  151      2     1539                                       Timber logging and transport           Forestry, wood extraction and related service activities
  152      2        0                                       Bamboo logging and transport           Forestry, wood extraction and related service activities
  160     41      768                                 Production and supply of pipewater                    Water collection, purification and distribution
  171     15     2277                                                   Grain processing                                 Food and drink product manufacture
  172     15      663                                           Vegetable oil processing                                 Food and drink product manufacture
  173     15     1892                                        Pastry and candy processing                                 Food and drink product manufacture
  174     15     2217                                                   Sugar processing                                 Food and drink product manufacture
  175     15     1407                            Animal slaughtering and meat processing                                 Food and drink product manufacture
  176     15       40                                             Egg product processing                                 Food and drink product manufacture
  177     15      178                                           Dairy product processing                                 Food and drink product manufacture
  178     15      324                       Aquatic animal and plant products processing                                 Food and drink product manufacture
  179     15      587                                             Canned food processing                                 Food and drink product manufacture
  180     15       56                                                    Salt processing                                 Food and drink product manufacture
  181     15       45                                          Food additives production                                 Food and drink product manufacture
  182     15      684                                               Seasoning production                                 Food and drink product manufacture
  189     15     1178                                  Production of other kinds of food                                 Food and drink product manufacture
  191     15     2281                                      Alcoholic beverage production                                 Food and drink product manufacture
  192     15      154                                                 Alcohol production                                 Food and drink product manufacture
  193     15      639                                           Soft beverage production                                 Food and drink product manufacture
  194     15      332                                                     Tea processing                                 Food and drink product manufacture
  199     15        5                                          Other beverage production                                 Food and drink product manufacture
  201     16       27                                                   Tobacco redrying                                        Tobacco product manufacture
  202     16      699                                               Cigarette production                                        Tobacco product manufacture
  209     16       16                                   Other tobacco processing sectors                                        Tobacco product manufacture
  211     15      292                                              Mixed feed processing                                 Food and drink product manufacture
  212     15        5                                            Protein feed processing                                 Food and drink product manufacture
  213     15       13                                          Feed additives processing                                 Food and drink product manufacture
  219     15       22                                             Other feed processings                                 Food and drink product manufacture
  221     17      559                                      Row fiber material processing                                        Textile product manufacture
  222     17    11446                                        Cotton spinning and weaving                                        Textile product manufacture
  224     17     3432                                          Wool spinning and weaving                                        Textile product manufacture
  226     17     1563                                          Flax spinning and weaving                                        Textile product manufacture
  227     17     2568                                            Silk textile processing                                        Textile product manufacture
  228     17     3546                                             Knit fabric processing                                        Textile product manufacture
  229     17      273                                           Other textile processing                                        Textile product manufacture
  241     18     7317                                                  Garment tailoring                       Clothing and furs processing and manufacture
  243     18      125                                                 Headwear tailoring                       Clothing and furs processing and manufacture
  245     19      933                                                       Shoes making  Leather processing, manufacture of luggage, handbags, leatherwear
  251     19      261                                                       Hide tanning  Leather processing, manufacture of luggage, handbags, leatherwear
  252     19     2417                                                   Leather products  Leather processing, manufacture of luggage, handbags, leatherwear
  254     19      146                                       Fur tanning and fur products  Leather processing, manufacture of luggage, handbags, leatherwear
  261     20      903                                                     Lumber milling  Production of wood and manufacture of wood and cork products with
  262     20      436                                                     Panel products  Production of wood and manufacture of wood and cork products with
  263     20      864                                          Wood composition products  Production of wood and manufacture of wood and cork products with
  264     20      449                                 Bamboo, rattan, and grass products  Production of wood and manufacture of wood and cork products with
  271     36     2969                                            Wood furniture industry             Furniture manufacture, manufacturing industries N.E.C.
  273     36      215                               Bamboo and rattan furniture industry             Furniture manufacture, manufacturing industries N.E.C.
  274     36      204                                           Metal furniture industry             Furniture manufacture, manufacturing industries N.E.C.
  275     36        2                                         Plastic furniture industry             Furniture manufacture, manufacturing industries N.E.C.
  279     36       58                                         Other furniture industries             Furniture manufacture, manufacturing industries N.E.C.
  281     21       72                                                    Pulp Production                               Paper and paper products manufacture
  282     21     3459                                                       Paper making                               Paper and paper products manufacture
  283     21     1317                                                     Paper products                               Paper and paper products manufacture
  290     22     2929                                                           Printing          Editorial, printing and recording reproduction activities
  301     22      411                                            Art supplies production          Editorial, printing and recording reproduction activities
  302     22       22                                    Educational supplies production          Editorial, printing and recording reproduction activities
  317     17      854                                                      Carpet making                                        Textile product manufacture
  318     33       95                                                      Jewels making  Manufacture of medical instruments, precision optics and watchmak
  331     40     1839                                          Electric power generating       Electrical, gas, steam and hot water supply and distribution
